set,averageWatched,averageRating
1,0.2,4.25
2,0.4,3.75
3,0.6,1.5
1,0.2,3.75
2,0.5,3.9
3,0.6,2.0833333333333335
1,0.2,4.75
2,0.4,4.0
3,0.7,2.4285714285714284
1,0.1,5.0
2,0.3,4.333333333333333
3,0.6,2.25
1,0.25,4.25
2,0.5,3.99999
3,0.8,3
1,0.1,4.5
2,0.4,4
3,0.4,1.4
1,0.3,4.7
2,0.6,4.8
3,0.5,2
1,0.2,4.75
2,0.8,4.8
3,0.9,1.5
1,0.3,4.5
2,0.6,4.2
3,0.8,1.9
1,0.3,4.1
2,0.5,4
3,0.6,2.1
1,0.8,4.3
2,0.7,3
3,0.6,2.25
1,0.3,4.25
2,0.7,4.33333333333333
3,0.8,1.75
1,0.2,5.0
2,0.5,3.98
3,0.6,3
1,0.3,4.5
2,0.4,4.7
3,0.8,1
1,0.1,5.0
2,0.4,4.5
3,0.9,.5
1,0.2,5.0
2,0.3,4
3,0.5,2
1,0.4,4.75
2,0.6,4.333333333333333
3,0.7,1.2
1,0.3,4.5
2,0.6,4.75
3,0.8,2.751,0.2,4.75
2,0.3,3.6666666666666665
3,0.5,1.3
1,0.2,4.75
2,0.4,4.125
3,0.4,1.625
